,名称,链接,价格,评论数
71, 动手玩转Scratch 3.0编程：人工智能科创教育指南,http://product.dangdang.com/28485662.html,102,0
72, 啊哈！算法,http://product.dangdang.com/23490849.html,103,12201
73, 啊哈C语言！逻辑的挑战（修订版）,http://product.dangdang.com/24171639.html,104,13532
74, 图灵经典计算机基础图书：网络是怎样连接的+程序是怎样跑起来的+计算机是怎样跑起来的(套装共3册),http://product.dangdang.com/27883702.html,105,0
75, 图解HTTP,http://product.dangdang.com/23462067.html,106,11456
76, 基于Python的金融分析与风险管理,http://product.dangdang.com/27943466.html,107,2972
77, 大型网站技术架构：核心原理与案例分析（接地气的网站架构经验，网站生存技术心要，应对大数据挑战的干货分享！）,http://product.dangdang.com/23334733.html,108,13013
78, 幕后产品：打造突破式产品思维（全彩）,http://product.dangdang.com/27858957.html,109,0
79, 微服务架构设计模式,http://product.dangdang.com/27860466.html,110,3408
80, 教孩子学编程 Python语言版,http://product.dangdang.com/23928893.html,111,14687
81, 数据结构与算法分析 C语言描述（原书第2版）典藏版,http://product.dangdang.com/27852200.html,112,1752
82, 数据结构与算法分析：Java语言描述（原书第3版）,http://product.dangdang.com/23918741.html,5678,12700
83, 机器学习实战【python基础教程指南，python核心编程实例指导，对wxpython数据库充分的讲解，不可错过的编,http://product.dangdang.com/23254747.html,114,0
84, 架构师修炼之道,http://product.dangdang.com/27918667.html,115,1408
85, 架构整洁之道,http://product.dangdang.com/25350168.html,116,0
86, 流畅的Python,http://product.dangdang.com/25071121.html,117,6378
87, 深入分析Java Web技术内幕（修订版）,http://product.dangdang.com/23538043.html,118,7824
88, 深入浅出Docker,http://product.dangdang.com/26917576.html,119,4750
89, 深入浅出Node.js【深入讲解Node的图书，详细讲述基于JavaScript运行时所建立的平台原理，与mongod,http://product.dangdang.com/23371791.html,120,8614
90, 深入浅出Vue.js,http://product.dangdang.com/26922892.html,121,0
91, 深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）,http://product.dangdang.com/23259731.html,343,38851
92, 深入理解Java虚拟机：JVM高级特性与最佳实践（第3版）,http://product.dangdang.com/28495225.html,123,1855
93, 深入理解Kafka：核心设计与实践原理,http://product.dangdang.com/26492453.html,124,2397
94, 深度学习入门 基于Python的理论与实现,http://product.dangdang.com/25307675.html,125,5714
95, 深度探索C++对象模型（专注C++底层机制 优化代码 侯捷译）,http://product.dangdang.com/22588609.html,126,4529
96, 漫画算法：小灰的算法之旅,http://product.dangdang.com/27854694.html,127,9598
97, 漫画算法：小灰的算法之旅（Python篇）（全彩）,http://product.dangdang.com/28529383.html,128,7
98, 用户体验要素：以用户为中心的产品设计（原书第2版）,http://product.dangdang.com/27851775.html,129,2415
99, 用户画像：方法论与工程化解决方案,http://product.dangdang.com/28524538.html,130,67
100, 疯狂Java讲义（第5版）（含DVD光盘一张）,http://product.dangdang.com/27858952.html,131,3258
101, 疯狂Python讲义,http://product.dangdang.com/25580336.html,132,6694
102, 知识图谱：概念与技术,http://product.dangdang.com/28505450.html,4,409
103, 码农翻身（好玩有趣的编程知识）,http://product.dangdang.com/25276414.html,345,18990
104, 码出高效：Java开发手册,http://product.dangdang.com/25346848.html,135,4746
105, 破茧成蝶——用户体验设计师的成长之路,http://product.dangdang.com/23494800.html,136,9272
106, 程序员代码面试指南：IT名企算法与数据结构题目最优解（第2版）,http://product.dangdang.com/26475569.html,2,1453
107, 程序员修炼之道：通向务实的最高境界（第2版）,http://product.dangdang.com/28527131.html,138,192
108, 程序员的自我修养—链接、装载与库（ 网易云风力荐：莫到用时再读书！）,http://product.dangdang.com/20569834.html,139,9298
109, 笨办法学Python 3,http://product.dangdang.com/25286312.html,3,11845
110, 算法（第4版）【Sedgewick之巨著，与高德纳TAOCP一脉相承】,http://product.dangdang.com/22880871.html,141,29652
111, 算法图解,http://product.dangdang.com/24214704.html,142,12948
112, 算法导论（原书第3版）（全球超过50万人阅读的算法圣经！算法标准教材，国内外1000余所高校采用）,http://product.dangdang.com/22927209.html,143,46366
113, 计算机程序的构造和解释（原书第2版）典藏版,http://product.dangdang.com/27900704.html,144,433
114, 设计模式：可复用面向对象软件的基础（典藏版）,http://product.dangdang.com/27875838.html,34345,10211
115, 重构 改善既有代码的设计 Java语言版,http://product.dangdang.com/23734636.html,146,19751
116, 重构 改善既有代码的设计 第2版 平装版,http://product.dangdang.com/27851757.html,147,6274
117, 零基础入门学习Python（第2版）-微课视频版,http://product.dangdang.com/27865271.html,148,3210
118, 零基础学Python（全彩版）,http://product.dangdang.com/28486010.html,149,344
119, 青少年Python编程入门,http://product.dangdang.com/27869934.html,150,821
120, 领域驱动设计 软件核心复杂性应对之道 修订版,http://product.dangdang.com/23981385.html,151,5001
121,lalal,1235,,123456
122,nunlonju,123435,,123356
